"Date","Price","Open","High","Low","Vol.","Change %"
"2019/05/26","799.60","810.10","821.50","793.70","4.18K","-1.06%"
"2019/05/19","808.20","823.90","831.40","802.20","2.18K","-2.11%"
"2019/05/12","825.60","870.50","872.80","823.80","1.74K","-5.20%"
"2019/05/05","870.90","878.20","891.50","855.40","1.69K","-1.06%"
"2019/04/28","880.20","909.40","910.00","853.00","2.55K","-2.59%"
"2019/04/21","903.60","906.30","918.30","881.10","77.64K","-0.01%"
"2019/04/14","903.70","896.00","907.90","880.60","70.66K","0.58%"
"2019/04/07","898.50","905.30","920.40","890.50","96.58K","-0.76%"
"2019/03/31","905.40","853.50","913.50","847.80","118.33K","6.01%"
"2019/03/24","854.10","853.80","870.70","838.70","76.37K","0.08%"
"2019/03/17","853.40","835.70","881.90","829.00","38.64K","1.96%"
"2019/03/10","837.00","823.20","854.30","814.80","21.40K","1.68%"
"2019/03/03","823.20","871.10","871.10","819.40","16.06K","-5.26%"
"2019/02/24","868.90","850.90","884.90","850.90","6.42K","2.09%"
"2019/02/17","851.10","813.50","851.20","811.90","1.75K","4.82%"
"2019/02/10","812.00","804.70","814.20","786.20","1.47K","0.53%"
"2019/02/03","807.70","831.40","831.50","802.00","1.08K","-2.92%"
"2019/01/27","832.00","820.40","839.00","810.90","27.26K","1.67%"
"2019/01/20","818.30","798.70","822.50","788.50","72.38K","2.02%"
"2019/01/13","802.10","813.50","818.20","797.50","81.86K","-1.94%"
"2019/01/06","818.00","826.30","836.50","813.50","76.40K","-1.11%"
"2018/12/30","827.20","795.80","828.50","787.90","75.65K","3.87%"
"2018/12/23","796.40","792.70","809.30","791.30","34.99K","-0.34%"
"2018/12/16","799.10","793.30","804.50","788.50","45.27K","1.00%"
"2018/12/09","791.20","799.90","814.50","785.00","21.54K","-0.64%"
"2018/12/02","796.30","806.50","821.40","790.50","15.57K","-1.06%"
"2018/11/25","804.80","848.10","856.20","804.20","4.37K","-5.26%"
"2018/11/18","849.50","853.60","862.40","844.70","1.09K","-0.18%"
"2018/11/11","851.00","862.90","864.00","833.80","2.92K","-1.08%"
"2018/11/04","860.30","876.50","885.50","859.40","0.62K","-2.23%"
"2018/10/28","879.90","835.70","880.00","833.50","18.01K","5.45%"
"2018/10/21","834.40","833.40","842.00","820.00","83.76K","-0.19%"
"2018/10/14","836.00","843.70","854.50","828.60","70.31K","-0.48%"
"2018/10/07","840.00","825.50","848.00","812.40","89.17K","1.88%"
"2018/09/30","824.50","819.00","840.00","811.40","87.62K","0.26%"
"2018/09/23","822.40","830.30","838.40","809.20","79.24K","-1.26%"
"2018/09/16","832.90","798.40","841.80","795.00","50.81K","3.96%"
"2018/09/09","801.20","784.80","816.20","780.00","16.27K","2.29%"
"2018/09/02","783.30","791.60","799.10","768.90","12.19K","-0.90%"
"2018/08/26","790.40","794.40","812.40","788.00","2.93K","-0.30%"
"2018/08/19","792.80","789.80","806.00","777.70","1.79K","1.60%"
"2018/08/12","780.30","833.90","833.90","759.40","4.44K","-6.35%"
"2018/08/05","833.20","839.40","845.60","825.60","0.91K","-0.88%"
"2018/07/29","840.60","837.10","850.00","818.00","1.64K","1.07%"
"2018/07/22","831.70","830.00","848.60","823.00","82.60K","0.27%"
"2018/07/15","829.50","831.00","836.50","794.50","88.97K","-0.10%"
"2018/07/08","830.30","846.50","862.10","826.70","82.30K","-2.16%"
"2018/07/01","848.60","856.70","857.50","800.70","105.54K","-1.06%"
"2018/06/24","857.70","877.60","882.70","846.40","72.00K","-1.98%"
"2018/06/17","875.00","892.10","896.20","861.00","55.36K","-1.92%"
"2018/06/10","892.10","913.20","918.90","890.00","17.79K","-2.03%"
